name1	name2	form1	form2	result	concentration1	concentration2	goal_diff	score_diff	history	motivation1	motivation2
Ливерпуль	Тоттенхэм Хотспур	0.6	0.9	1.0	1.0	1.0	0.5238095238095238	0.375	0.25	0.9	0.9333333333333332
Ливерпуль	Эвертон	0.7	0.6	0.5	1.0	0.2	0.5774647887323944	0.4583333333333333	0.75	1.0	1.0
Ливерпуль	Вест Бромвич Альбион	0.6	0.1	0.0	1.0	0.6	0.7191780821917808	0.59375	0.5	0.9487179487179488	0.7435897435897436
Ливерпуль	Суонси Сити	0.4	0.6	1.0	1.0	1.0	0.5089285714285714	0.4895833333333333	0.25	0.8333333333333334	0.8611111111111112
Ливерпуль	Вест Хэм Юнайтед	0.8	0.4	0.5	0.2	0.8	0.7121212121212122	0.6111111111111112	0.5	0.8571428571428572	0.7619047619047619
Ливерпуль	Норвич Сити	0.6	0.1	1.0	1.0	1.0	0.6634615384615384	0.5609756097560976	1.0	0.9375	0.8541666666666666
Ливерпуль	Фулхэм	0.5	0.3	1.0	1.0	1.0	0.5147058823529411	0.5303030303030303	0.0	0.9206349206349206	0.9206349206349206
Ливерпуль	Сток Сити	0.4	0.5	0.5	1.0	1.0	0.4130434782608696	0.4411764705882353	0.75	0.0	0.0
Ливерпуль	Астон Вилла	0.7	0.5	0.0	1.0	1.0	0.696969696969697	0.609375	0.75	0.9393939393939394	0.8333333333333334
Ливерпуль	Ньюкасл Юнайтед	0.6	0.6	0.5	1.0	1.0	0.5	0.4285714285714286	0.5	0.0	0.0
Ливерпуль	Сандерленд	0.6	0.6	1.0	1.0	1.0	0.6	0.5714285714285714	0.25	0.9074074074074074	0.9259259259259259
Ливерпуль	Уиган Атлетик	0.6	0.5	1.0	1.0	1.0	0.5740740740740741	0.5217391304347826	0.25	0.0	0.0
Ливерпуль	Рединг	0.4	0.2	1.0	1.0	1.0	0.5434782608695652	0.5882352941176471	0.5	0.0	0.0
Ливерпуль	Куинз Парк Рейнджерс	0.7	0.1	1.0	1.0	1.0	0.8888888888888888	0.7619047619047619	0.5	1.0	1.0
Вест Бромвич Альбион	Манчестер Юнайтед	0.3	0.6	0.5	0.0	1.0	0.1736111111111111	0.18253968253968256	0.0	1.0	1.0
Вест Бромвич Альбион	Манчестер Сити	0.7	0.8	0.0	0.6	1.0	0.43478260869565216	0.4705882352941176	0.25	0.0	0.0
Вест Бромвич Альбион	Челси	0.6	0.6	1.0	1.0	1.0	0.3703703703703704	0.4130434782608696	0.5	0.0	0.0
Вест Бромвич Альбион	Арсенал	0.5	0.8	0.0	1.0	1.0	0.3	0.4166666666666667	0.0	0.6666666666666666	0.9047619047619048
Вест Бромвич Альбион	Тоттенхэм Хотспур	0.1	0.7	0.0	0.4	1.0	0.3909090909090909	0.4111111111111111	0.25	0.8333333333333333	0.9761904761904762
Вест Бромвич Альбион	Суонси Сити	0.4	0.5	1.0	1.0	1.0	0.46875	0.5	0.0	0.8333333333333333	0.8333333333333333
Вест Бромвич Альбион	Вест Хэм Юнайтед	0.4	0.3	0.5	1.0	1.0	0.5294117647058824	0.5606060606060606	0.5	0.9848484848484848	0.9393939393939394
Вест Бромвич Альбион	Норвич Сити	0.3	0.8	1.0	1.0	1.0	0.6323529411764706	0.5303030303030303	0.0	0.9682539682539684	0.9682539682539684
Вест Бромвич Альбион	Фулхэм	0.5	0.3	0.0	1.0	1.0	0.5978260869565217	0.6538461538461539	0.25	0.9444444444444444	0.9444444444444444
Вест Бромвич Альбион	Сток Сити	0.8	0.7	0.0	1.0	1.0	0.5757575757575758	0.625	0.5	0.0	0.0
Вест Бромвич Альбион	Астон Вилла	0.4	0.1	0.5	0.0	1.0	0.75	0.6707317073170732	0.5	0.9791666666666666	0.6875
Вест Бромвич Альбион	Ньюкасл Юнайтед	0.3	0.4	0.5	1.0	1.0	0.6194029850746269	0.5701754385964912	0.0	1.0	1.0
Вест Бромвич Альбион	Сандерленд	0.3	0.5	1.0	0.8	1.0	0.5625	0.5833333333333334	1.0	0.8611111111111112	0.8611111111111112
Вест Бромвич Альбион	Уиган Атлетик	0.4	0.4	0.0	1.0	1.0	0.676056338028169	0.6333333333333333	0.75	1.0	1.0
Вест Бромвич Альбион	Куинз Парк Рейнджерс	0.6	0.2	1.0	0.4	1.0	0.8529411764705883	0.8214285714285714	0.75	0.0	0.0
Суонси Сити	Манчестер Юнайтед	0.5	1.0	0.5	1.0	1.0	0.2857142857142857	0.2121212121212121	0.0	0.8888888888888888	0.9523809523809524
Суонси Сити	Манчестер Сити	0.2	0.8	0.5	1.0	1.0	0.28169014084507044	0.2583333333333333	0.5	1.0	1.0
Суонси Сити	Челси	0.3	0.8	0.5	1.0	1.0	0.27083333333333337	0.21052631578947367	0.25	0.0	0.0
Суонси Сити	Арсенал	0.4	0.7	0.0	1.0	1.0	0.3650793650793651	0.4270833333333333	0.25	0.8148148148148148	0.9259259259259259
Суонси Сити	Тоттенхэм Хотспур	0.4	0.6	0.0	1.0	0.0	0.4047619047619048	0.3627450980392157	0.0	0.6666666666666667	0.9583333333333334
Суонси Сити	Ливерпуль	0.6	0.7	0.5	1.0	1.0	0.5161290322580645	0.5192307692307693	1.0	0.0	0.0
Суонси Сити	Вест Бромвич Альбион	0.5	0.8	1.0	1.0	1.0	0.4032258064516129	0.32	1.0	0.0	0.0
Суонси Сити	Норвич Сити	0.8	0.7	0.0	1.0	1.0	0.7121212121212122	0.5666666666666667	0.0	0.9565217391304348	0.9420289855072465
Суонси Сити	Фулхэм	0.4	0.0	0.0	1.0	0.2	0.5833333333333334	0.5476190476190477	1.0	1.0	1.0
Суонси Сити	Сток Сити	0.6	0.4	1.0	1.0	1.0	0.5769230769230769	0.5121951219512195	0.0	0.9166666666666666	0.8958333333333334
Суонси Сити	Саутгемптон	0.3	0.8	0.5	1.0	1.0	0.5597014925373134	0.5263157894736842	0.25	1.0	1.0
Суонси Сити	Астон Вилла	0.4	0.3	0.5	1.0	1.0	0.8152173913043479	0.6282051282051282	0.5	0.9074074074074074	0.9814814814814816
Суонси Сити	Ньюкасл Юнайтед	0.5	0.6	1.0	1.0	1.0	0.6186440677966102	0.5686274509803921	0.5	0.8484848484848485	0.8181818181818181
Суонси Сити	Уиган Атлетик	0.2	0.2	1.0	0.6	1.0	0.6521739130434783	0.5882352941176471	0.75	0.0	0.0
Суонси Сити	Куинз Парк Рейнджерс	0.5	0.6	1.0	1.0	1.0	0.7272727272727273	0.6888888888888889	0.5	0.8205128205128205	0.8974358974358975
Вест Хэм Юнайтед	Манчестер Юнайтед	0.6	0.8	0.5	1.0	1.0	0.13432835820895522	0.125	0.25	0.8666666666666667	0.5
Вест Хэм Юнайтед	Манчестер Сити	0.5	0.9	0.5	0.0	1.0	0.35416666666666663	0.3157894736842105	0.0	0.0	0.0
Вест Хэм Юнайтед	Челси	0.4	0.4	1.0	1.0	1.0	0.33333333333333337	0.375	0.0	0.0	0.0
Вест Хэм Юнайтед	Арсенал	0.6	0.6	0.0	1.0	1.0	0.38235294117647056	0.5714285714285714	0.0	0.0	0.0
Вест Хэм Юнайтед	Тоттенхэм Хотспур	0.3	0.7	0.0	0.0	1.0	0.3082191780821918	0.296875	0.25	0.8055555555555556	0.9722222222222222
Вест Хэм Юнайтед	Эвертон	0.3	0.6	0.0	1.0	1.0	0.4117647058823529	0.4393939393939394	0.5	0.9365079365079364	0.9682539682539684
Вест Хэм Юнайтед	Ливерпуль	0.5	0.6	0.0	1.0	1.0	0.5151515151515151	0.5517241379310345	0.5	0.9710144927536232	0.9420289855072465
Вест Хэм Юнайтед	Вест Бромвич Альбион	0.4	0.7	1.0	0.6	1.0	0.3968253968253969	0.3921568627450979	0.5	0.875	0.8333333333333334
Вест Хэм Юнайтед	Суонси Сити	0.3	0.7	1.0	1.0	1.0	0.35185185185185186	0.41860465116279066	0.0	0.8333333333333333	0.9047619047619048
Вест Хэм Юнайтед	Норвич Сити	0.3	0.4	1.0	1.0	1.0	0.5869565217391304	0.4743589743589744	0.25	0.9074074074074074	0.8703703703703703
Вест Хэм Юнайтед	Сток Сити	0.5	0.4	0.5	0.4	1.0	0.5205479452054794	0.53125	0.5	0.0	0.0
Вест Хэм Юнайтед	Ньюкасл Юнайтед	0.5	0.3	0.5	1.0	1.0	0.6056338028169014	0.5416666666666666	0.5	1.0	1.0
Вест Хэм Юнайтед	Уиган Атлетик	0.5	0.5	1.0	1.0	1.0	0.5895522388059702	0.5701754385964912	0.0	1.0	1.0
Вест Хэм Юнайтед	Рединг	0.4	0.4	1.0	1.0	1.0	0.625	0.6190476190476191	0.25	1.0	1.0
Вест Хэм Юнайтед	Куинз Парк Рейнджерс	0.3	0.3	0.5	1.0	1.0	0.6538461538461539	0.6463414634146342	0.5	0.8541666666666666	0.8958333333333334
Норвич Сити	Манчестер Юнайтед	0.6	1.0	1.0	1.0	1.0	0.07407407407407407	0.15217391304347827	0.0	0.0	0.0
Норвич Сити	Манчестер Сити	0.6	0.5	0.0	1.0	0.0	0.18292682926829268	0.3055555555555556	0.0	0.8596491228070176	0.9298245614035088
Норвич Сити	Челси	0.7	0.6	0.0	1.0	1.0	0.1388888888888889	0.3970588235294118	0.25	0.9166666666666666	0.9666666666666668
Норвич Сити	Арсенал	0.2	0.7	1.0	1.0	1.0	0.06521739130434784	0.2352941176470588	0.25	0.0	0.0
Норвич Сити	Тоттенхэм Хотспур	0.1	0.8	0.5	1.0	1.0	0.2452830188679245	0.3125	0.75	0.8666666666666667	0.9333333333333332
Норвич Сити	Эвертон	0.4	0.5	1.0	1.0	1.0	0.29464285714285715	0.36458333333333337	0.5	0.8611111111111112	0.9444444444444444
Норвич Сити	Ливерпуль	0.3	0.2	0.0	1.0	1.0	0.5	0.5416666666666666	0.25	0.0	0.0
Норвич Сити	Вест Бромвич Альбион	0.3	0.3	1.0	1.0	0.2	0.3428571428571429	0.4166666666666667	0.5	1.0	1.0
Норвич Сити	Суонси Сити	0.4	0.2	0.5	1.0	1.0	0.3461538461538461	0.4444444444444444	1.0	0.8095238095238095	0.5238095238095237
Норвич Сити	Фулхэм	0.3	0.5	0.5	1.0	1.0	0.4181818181818182	0.5	0.0	0.8717948717948718	0.8717948717948718
Норвич Сити	Сток Сити	0.3	0.4	1.0	1.0	1.0	0.29166666666666663	0.4473684210526316	0.25	0.0	0.0
Норвич Сити	Саутгемптон	0.5	0.3	0.5	1.0	1.0	0.453125	0.5490196078431373	0.25	0.7333333333333334	0.9
Норвич Сити	Астон Вилла	0.3	0.5	0.0	1.0	1.0	0.5070422535211268	0.5083333333333333	0.25	1.0	1.0
Норвич Сити	Ньюкасл Юнайтед	0.2	0.2	0.5	1.0	1.0	0.52	0.5641025641025641	0.0	0.8627450980392157	0.9607843137254902
Норвич Сити	Сандерленд	0.7	0.3	1.0	1.0	1.0	0.42424242424242425	0.55	0.5	0.0	0.0
Норвич Сити	Уиган Атлетик	0.8	0.3	1.0	1.0	1.0	0.5909090909090909	0.609375	0.5	0.9393939393939394	0.8333333333333334
Норвич Сити	Рединг	0.3	0.1	1.0	1.0	1.0	0.5447761194029851	0.5964912280701754	0.25	1.0	1.0
Фулхэм	Манчестер Юнайтед	0.5	0.9	0.0	1.0	1.0	0.1944444444444444	0.13953488372093026	0.0	0.8095238095238095	0.8333333333333333
Фулхэм	Манчестер Сити	0.6	0.7	0.0	0.6	1.0	0.5666666666666667	0.5	0.25	0.0	0.0
Фулхэм	Челси	0.6	0.6	0.0	1.0	0.2	0.26119402985074625	0.3392857142857143	0.5	0.8	0.9333333333333332
Фулхэм	Арсенал	0.5	0.9	0.0	1.0	1.0	0.23134328358208955	0.32456140350877194	0.75	1.0	1.0
Фулхэм	Тоттенхэм Хотспур	0.3	0.4	0.0	1.0	0.8	0.5	0.3928571428571429	0.0	0.0	0.0
Фулхэм	Эвертон	0.6	0.7	0.5	1.0	1.0	0.4791666666666667	0.4473684210526316	0.0	0.0	0.0
Фулхэм	Ливерпуль	0.1	0.6	0.0	0.0	1.0	0.2428571428571429	0.375	0.5	1.0	1.0
Фулхэм	Суонси Сити	0.3	0.4	0.0	1.0	1.0	0.3902439024390244	0.4444444444444444	0.0	0.912280701754386	0.8596491228070176
Фулхэм	Вест Хэм Юнайтед	0.4	0.3	1.0	1.0	1.0	0.4863013698630137	0.4765625	0.0	0.9111111111111112	0.8444444444444444
Фулхэм	Сток Сити	0.4	0.3	1.0	1.0	1.0	0.4910714285714286	0.4583333333333333	0.5	0.8611111111111112	0.75
Фулхэм	Саутгемптон	0.3	0.5	0.5	1.0	1.0	0.5833333333333334	0.5735294117647058	0.25	0.9166666666666666	0.75
Фулхэм	Астон Вилла	0.5	0.4	1.0	1.0	1.0	0.7173913043478259	0.6470588235294118	0.25	0.0	0.0
Фулхэм	Ньюкасл Юнайтед	0.2	0.2	1.0	1.0	1.0	0.5757575757575758	0.546875	0.5	0.927536231884058	0.9710144927536232
Фулхэм	Сандерленд	0.6	0.2	0.0	1.0	1.0	0.6551724137931034	0.6458333333333334	0.75	0.0	0.0
Фулхэм	Уиган Атлетик	0.3	0.2	0.5	1.0	1.0	0.62	0.5769230769230769	1.0	0.8823529411764706	0.6862745098039216
Фулхэм	Рединг	0.1	0.2	0.0	1.0	1.0	0.6338028169014085	0.625	0.75	1.0	1.0
Фулхэм	Куинз Парк Рейнджерс	0.6	0.4	1.0	1.0	1.0	0.6384615384615384	0.6203703703703703	0.5	0.75	0.7083333333333333
Сток Сити	Манчестер Юнайтед	0.1	0.8	0.0	1.0	1.0	0.12307692307692307	0.0943396226415094	0.0	0.8333333333333334	0.33333333333333337
Сток Сити	Челси	0.5	0.8	0.0	1.0	0.0	0.31	0.3846153846153846	0.0	0.9019607843137256	0.9803921568627452
